state_name,state_alpha,place,lon,lat
Alabama,AL,Harpersville,-86.42726192517512,33.31768740154937
Alabama,AL,Hartford,-85.69157709802985,31.105501887446778
Alabama,AL,Hartselle,-86.94002587559775,34.43905803707395
Alabama,AL,Harvest,-86.75206130517017,34.8558128370771
Alabama,AL,Hatton,-87.4135815169057,34.56104649644749
Alabama,AL,Hayden,-86.764564008312135,33.88954747459461
Alabama,AL,Hayneville,-86.57871498851883,32.18215261283155
Alabama,AL,Hazel Green,-86.56708237162847,34.92367414397633
Alabama,AL,Headland,-85.352252723055,31.350093117442704
Alabama,AL,Heath,-86.46725051211605,31.35789188790435
Alabama,AL,Heflin,-85.56984165613758,33.64708875963495
Alabama,AL,Helena,-86.87324714137718,33.28499570747608
Alabama,AL,Henagar,-85.74048401279904,34.631008348367935
Alabama,AL,Highland Lake,-86.42444109216363,33.887570913033244
Alabama,AL,Highland Lakes,-86.64970855634473,33.39695666028825
Alabama,AL,Hillsboro,-87.18374645772856,34.64077136389189
Alabama,AL,Hissop,-86.11593684246323,32.87457584983061
Alabama,AL,Hobson,-88.15130286434932,31.48358062423434
Alabama,AL,Hobson City,-85.85123902789007,33.61778160618029
Alabama,AL,Hodges,-87.92985467305752,34.33395240240976
Alabama,AL,Hokes Bluff,-85.86397750264437,33.99057604942045
Alabama,AL,Hollins,-86.12902091704169,33.12134747372743
Alabama,AL,Hollis Crossroads,-85.64374762911012,33.52313579553929
Alabama,AL,Holly Pond,-86.61254046982947,34.16961433580257
Alabama,AL,Hollywood,-85.96498691231744,34.71898465672975
Alabama,AL,Holt,-87.48254054512553,33.23019148945175
Alabama,AL,Holtville,-86.32683914515566,32.631393080330206
Alabama,AL,Homewood,-86.8092087616563,33.461711990666274
Alabama,AL,Hoover,-86.82671235311575,33.367923901428846
Alabama,AL,Horn Hill,-86.32112100772545,31.238223985308654
Alabama,AL,Hueytown,-87.02203244240646,33.423710492627215
Alabama,AL,Huguley,-85.23966691677181,32.84305502427025
Alabama,AL,Huntsville,-86.64128438179765,34.698844745776974
Alabama,AL,Hurtsboro,-85.41467189162236,32.240078138445924
Alabama,AL,Hytop,-86.08794610244814,34.89675124404707
Alabama,AL,Ider,-85.66907771933207,34.70216837275959
Alabama,AL,Indian Springs Village,-86.752404973955,33.35746227795162
Alabama,AL,Irondale,-86.6714030792387,33.536411352266875
Alabama,AL,Ivalee,-86.14715282928877,34.03720834770997
Alabama,AL,Jackson,-87.8914910552268,31.531766981439684
Alabama,AL,Jacksons' Gap,-85.8150483797486,32.88307811472603
Alabama,AL,Jacksonville,-85.75452977678619,33.8088177442638
Alabama,AL,Jasper,-87.27084759816084,33.850314769181566
Alabama,AL,Jemison,-86.73390693125901,32.96956447618676
Alabama,AL,Joppa,-86.55063539347779,34.29815787506823
Alabama,AL,Kansas,-87.55675966419692,33.90289385732975
Alabama,AL,Kellyton,-86.03581590198002,32.97905083523431
Alabama,AL,Kennedy,-87.9861565339274,33.58090303688343
Alabama,AL,Killen,-87.52693003790232,34.8607262652015
Alabama,AL,Kimberly,-86.80943295501714,33.7720649448918
Alabama,AL,Kinsey,-85.3353058697165,31.29261245569004
Alabama,AL,Kinston,-86.17045068678281,31.219952445747012
Alabama,AL,La Fayette,-85.4006732504312,32.89967951394503
Alabama,AL,Ladonia,-85.08770740814674,32.46091315330075
Alabama,AL,Lake View,-87.1387647805468,33.28167311499274
Alabama,AL,Lakeview,-85.97607527523046,34.39097795498118
Alabama,AL,Lanett,-85.20625737854299,32.85458969991889
Alabama,AL,Langston,-86.08987702443184,34.53742493941932
Alabama,AL,Leeds,-86.56374027381771,33.54250686146083
Alabama,AL,Leesburg,-85.77496735866852,34.183854787991876
Alabama,AL,Leighton,-87.52821560588389,34.69410442295817
Alabama,AL,Leroy,-87.96899736094495,31.495195253310364
Alabama,AL,Lester,-87.15152073740853,34.98772487648873
Alabama,AL,Level Plains,-85.7686942863181,31.307079063470777
Alabama,AL,Lexington,-87.37351449091159,34.96522377809292
Alabama,AL,Libertyville,-86.4600095140997,31.242790262622396
Alabama,AL,Lillian,-87.43203333387984,30.41222626468168
Alabama,AL,Lincoln,-86.13735467199488,33.592845966742686
Alabama,AL,Linden,-87.79259225372776,32.30008928880598
Alabama,AL,Lineville,-85.7508395167147,33.31296230278193
Alabama,AL,Lipscomb,-86.9259797908309,33.42612058735898
Alabama,AL,Lisman,-88.30017258088421,32.17916012789392
Alabama,AL,Littleville,-87.6719302934513,34.595073239044055
Alabama,AL,Livingston,-88.18908100055633,32.5981965266781
Alabama,AL,Loachapoka,-85.5947812159566,32.604881077044915
Alabama,AL,Lockhart,-86.3505114979913,31.0127508365327
Alabama,AL,Locust Fork,-86.62796285316006,33.90192782658383
Alabama,AL,Lookout Mountain,-85.95852519207419,34.109143284585805
Alabama,AL,Louisville,-85.55834379347233,31.781044402727982
Alabama,AL,Lowndesboro,-86.6108388846682,32.27642505725627
Alabama,AL,Loxley,-87.75203806440236,30.682960896177306
Alabama,AL,Luverne,-86.26866002905463,31.718633478533192
Alabama,AL,Lynn,-87.55547327824023,34.05480239488898
Alabama,AL,Macedonia,-88.2392331680182,33.40313582199359
Alabama,AL,Madison,-86.7625596631225,34.711342771652475
Alabama,AL,Madrid,-85.39923774843064,31.035636158780743
Alabama,AL,Magnolia Springs,-87.7748315765675,30.400320200801904
Alabama,AL,Malcolm,-88.00155357166695,31.19454892601255
Alabama,AL,Malvern,-85.52096328396708,31.142809652484015
Alabama,AL,Maplesville,-86.878302932441,32.78671533611279
Alabama,AL,Marbury,-86.46066598430986,32.679311559639295
Alabama,AL,Margaret,-86.46800035118997,33.673457048964146
Alabama,AL,Marion,-87.31717985296473,32.6318123079601
Alabama,AL,Maytown,-86.99987629388272,33.54893474309942
Alabama,AL,McDonald Chapel,-86.93845428663234,33.5188816412158
Alabama,AL,McIntosh,-88.02836946158538,31.264934922288226
Alabama,AL,McKenzie,-86.7245960030207,31.54284654807954
Alabama,AL,McMullen,-88.17574674068324,33.14811448185397
Alabama,AL,Meadowbrook,-86.704112052205,33.393211909298344
Alabama,AL,Megargel,-87.43068288244854,31.378128370442536
Alabama,AL,Memphis,-88.30082683972952,33.13688551531424
Alabama,AL,Mentone,-85.58423118683599,34.566298848049016
Alabama,AL,Meridianville,-86.57222363547672,34.87293746868134
Alabama,AL,Midfield,-86.922633081623,33.455215372574024
Alabama,AL,Midland City,-85.49369102458972,31.315711289923208
Alabama,AL,Midway,-85.52441291420973,32.076401761961115
Alabama,AL,Mignon,-86.26510757965767,33.19483541550121
Alabama,AL,Millbrook,-86.37366112082843,32.50214625970421
Alabama,AL,Millerville,-85.9302688935318,33.19262570381732
Alabama,AL,Millport,-88.08169123676352,33.55857097622404
Alabama,AL,Millry,-88.31908523487549,31.625595195645552
Alabama,AL,Minor,-86.94024169524353,33.53894797018319
Alabama,AL,Mobile,-88.11623602771448,30.67817719368951
Alabama,AL,Monroeville,-87.32791111166641,31.5161823940682
Alabama,AL,Montevallo,-86.84751617780563,33.124703971902896
Alabama,AL,Montgomery,-86.2685697079155,32.347661407799066
Alabama,AL,Moody,-86.49676517932564,33.598316911382994
Alabama,AL,Moores Mill,-86.52215797490622,34.84908694083066
Alabama,AL,Mooresville,-86.87989458493857,34.627000612354735
Alabama,AL,Morris,-86.80373641119515,33.746694166390355
Alabama,AL,Morrison Crossroads,-85.49025520077646,33.419768394978774
Alabama,AL,Mosses,-86.68881241915935,32.18014418016707
Alabama,AL,Moulton,-87.28307818943242,34.48434565600998
Alabama,AL,Moundville,-87.62721913451581,32.99684324300168
Alabama,AL,Mount Olive,-86.1333761908409,33.07641488230437
Alabama,AL,Mount Olive,-86.87256086979772,33.67778032515619
Alabama,AL,Mount Vernon,-88.0137107670561,31.088315396797437
Alabama,AL,Mountain Brook,-86.74021942443433,33.48720824295949
Alabama,AL,Movico,-88.02661482679471,31.06275303768543
Alabama,AL,Mulga,-86.9734313273377,33.55333394286143
Alabama,AL,Munford,-85.95474214861862,33.526392090403995
Alabama,AL,Muscle Shoals,-87.63471522232592,34.744577276250006
Alabama,AL,Myrtlewood,-87.94923201717306,32.25209220329089
Alabama,AL,Nanafalia,-87.99574927133362,32.11135417601391
Alabama,AL,Nances Creek,-85.67327775910904,33.858801520128374
Alabama,AL,Napier Field,-85.45492133984862,31.314891056508362
Alabama,AL,Natural Bridge,-87.60140895059384,34.09035664269202
Alabama,AL,Nauvoo,-87.48758042054013,33.98733412383677
Alabama,AL,Nectar,-86.6339495787542,33.96837099940746
Alabama,AL,Needham,-88.33655837142076,31.986996950978906
Alabama,AL,New Brockton,-85.92279674878156,31.378425060787528
Alabama,AL,New Hope,-86.41281664890948,34.53702078106429
Alabama,AL,New Market,-86.42263101268345,34.88923056053597
Alabama,AL,New Site,-85.78008972186873,33.028299536305745
Alabama,AL,New Union,-86.22183552007732,34.14224718476437
Alabama,AL,Newbern,-87.53314895207635,32.5919565063016
Alabama,AL,Newton,-85.58934284282871,31.342285934927702
Alabama,AL,Newville,-85.33667691972772,31.42061463520363
Alabama,AL,North Courtland,-87.3083383391588,34.678816320809524
Alabama,AL,North Johns,-87.10081996736514,33.36803896716462
Alabama,AL,Northport,-87.59846397758358,33.25885130128109
Alabama,AL,Notasulga,-85.66954128687266,32.55694340132514
Alabama,AL,Oak Grove,-86.30116495523187,33.18797815234342
Alabama,AL,Oak Hill,-87.0852283018154,31.921629512474976
Alabama,AL,Oakman,-87.38903502127987,33.71412755270182
Alabama,AL,Odenville,-86.41472266745964,33.671450383408256
Alabama,AL,Ohatchee,-86.02687472247798,33.78842074850671
Alabama,AL,Oneonta,-86.49296063895711,33.939185894570684
Alabama,AL,Onycha,-86.27852319175277,31.22459593384835
Alabama,AL,Opelika,-85.37676650470779,32.660633223470725
Alabama,AL,Opp,-86.2569939007842,31.284809049803123
Alabama,AL,Orange Beach,-87.59319630839416,30.287238718075564
Alabama,AL,Orrville,-87.24541221528128,32.30677064711063
Alabama,AL,Our Town,-85.96870650376596,32.83043929269054
Alabama,AL,Owens Cross Roads,-86.45255248526813,34.587924551246296
Alabama,AL,Oxford,-85.8693833700636,33.596624670289046
Alabama,AL,Ozark,-85.64728205052533,31.450777174107237
Alabama,AL,Paint Rock,-86.33067175733864,34.66020316048637
Alabama,AL,Panola,-88.26741550640416,32.94778691215079
Alabama,AL,Parrish,-87.28015133113979,33.73229241072801
Alabama,AL,Pelham,-86.7573292890614,33.311434259281114
Alabama,AL,Pell City,-86.26692142478431,33.56095584521142
Alabama,AL,Pennington,-88.04941443878894,32.19935180437957
Alabama,AL,Penton,-85.4721740627246,33.008995479611926
Alabama,AL,Perdido,-87.63236024416481,31.003337908839296
Alabama,AL,Perdido Beach,-87.50358662715223,30.355374785734625
Alabama,AL,Peterman,-87.26308390437411,31.58370590197667
Alabama,AL,Petrey,-86.2056698268731,31.849485580409905
Alabama,AL,Phenix City,-85.0236938905367,32.458234131893576
Alabama,AL,Phil Campbell,-87.70622630321529,34.35191642257064
Alabama,AL,Pickensville,-88.27434605566202,33.233643614883015
Alabama,AL,Piedmont,-85.61473732555945,33.924997288216495
Alabama,AL,Pike Road,-86.05052579541956,32.319778797424604
Alabama,AL,Pinckard,-85.54304449563548,31.3173034249101
Alabama,AL,Pine Apple,-86.9890616572536,31.87213112418901
Alabama,AL,Pine Hill,-87.58749564565207,31.985788379957352
Alabama,AL,Pine Level,-86.45287584510993,32.57965775125936
Alabama,AL,Pine Ridge,-85.78075014590021,34.448955871398056
Alabama,AL,Pinson,-86.67051772923307,33.703529002545054
Alabama,AL,Pisgah,-85.84600157938611,34.68436719271587
Alabama,AL,Pleasant Grove,-86.97819700979214,33.49364074972983
Alabama,AL,Pleasant Groves,-86.2053920860637,34.73503182760932
Alabama,AL,Point Clear,-87.91710627549283,30.48059650636585
Alabama,AL,Pollard,-87.17357788506233,31.023576095346836
Alabama,AL,Powell,-85.89788305192606,34.53253759094388
Alabama,AL,Prattville,-86.45884439892434,32.46046755487533
Alabama,AL,Priceville,-86.88541897344348,34.52473327863312
Alabama,AL,Prichard,-88.13010432670305,30.773526514333977
Alabama,AL,Providence,-87.77615295150687,32.342387265630826
Alabama,AL,Putnam,-88.0330841558469,32.0180896699526
Alabama,AL,Ragland,-86.13842934664441,33.74687252809335
Alabama,AL,Rainbow City,-86.09222320270464,33.933681661101076
Alabama,AL,Rainsville,-85.84352565728823,34.49385625781982
Alabama,AL,Ranburne,-85.33900705557991,33.525857239524306
Alabama,AL,Ray,-86.03499342695194,32.87896826667991
Alabama,AL,Red Bay,-88.13525794627886,34.436997788712716
Alabama,AL,Red Level,-86.60842992412216,31.405541324524997
Alabama,AL,Redland,-86.1375409476428,32.47536607633232
Alabama,AL,Redstone Arsenal,-86.6470305634945,34.68433804094024
Alabama,AL,Reece City,-86.03453908133604,34.07717328229598
Alabama,AL,Reeltown,-85.81890311156248,32.57879238253421
Alabama,AL,Reform,-88.01726602542477,33.37884438787615
Alabama,AL,Rehobeth,-85.43890614482987,31.122878399659836
Alabama,AL,Repton,-87.2393184980935,31.409663224065447
